LCSC Part,Mfr. Part #,Mfr. #,Customer#,Quantity,Target Price($),Target Lead Time,Unit Price($),Ext Price($),Lead Time (business days),Pricing Valid,Remarks,Status
C2888573,TSD003A04126A02,BZCN,,150,-,,-,-,,,,Inquiring
C8734,STM32F103C8T6,STMicroelectronics,,15,-,,-,-,,,,Inquiring
C2890616,N096-1608TBBIG11-H13,Newvisio,,15,-,,-,-,,,,Inquiring
C182965,MT9216,XI'AN Aerosemi Tech,,20,-,,-,-,,,,Inquiring
C1607,CL10A225KP8NNNC,Samsung Electro-Mechanics,,100,-,,-,-,,,,Inquiring
C42412253,F8-4.3-4-0.4Z,Sam&wing,,60,-,,-,-,,,,Inquiring
C5137636,FCC0603B104K500CT,FOJAN,,200,-,,-,-,,,,Inquiring
C6119842,CGA0603X5R106K100JT,HRE,,100,-,,-,-,,,,Inquiring
C100044,RC0603FR-070RL,YAGEO,,100,-,,-,-,,,,Inquiring
C14675,RC0603FR-07100KL,YAGEO,,100,-,,-,-,,,,Inquiring
C2907113,FRC0603J102 TS,FOJAN,,100,-,,-,-,,,,Inquiring
C2930027,FRC0603J103TS,FOJAN,,100,-,,-,-,,,,Inquiring
C2929429,CY54-4.7UH,SHOU HAN,,20,-,,-,-,,,,Inquiring
C8032,CL10A475KQ8NNNC,Samsung Electro-Mechanics,,50,-,,-,-,,,,Inquiring
C1653,CL10C220JB8NNNC,Samsung Electro-Mechanics,,100,-,,-,-,,,,Inquiring
C3013969,AR05BTCW4003,Viking Tech,,20,-,,-,-,,,,Inquiring
